codigo_ibge,nome,latitude,longitude,UF,Munic,NMunic,Populacao
2411700,São Bento do Trairí,6.0,36.0,24.0,11700.0,SÃO BENTO DO TRAIRÍ,3702.0
2613008,São Bento do Una,9.0,36.0,26.0,13008.0,SÃO BENTO DO UNA,47230.0
4215752,São Bernardino,26.0,53.0,42.0,15752.0,SÃO BERNARDINO,2653.0
2110609,São Bernardo,3.0,42.0,21.0,10609.0,SÃO BERNARDO,25480.0
3548708,São Bernardo do Campo,24.0,47.0,35.0,48708.0,SÃO BERNARDO DO CAMPO,
4215901,São Bonifácio,28.0,49.0,42.0,15901.0,SÃO BONIFÁCIO,3178.0
4318002,São Borja,29.0,56.0,43.0,18002.0,SÃO BORJA,61834.0
2209559,São Braz do Piauí,9.0,43.0,22.0,9559.0,SÃO BRAZ DO PIAUÍ,4311.0
2708204,São Brás,10.0,37.0,27.0,8204.0,SÃO BRÁS,6820.0
3160900,São Brás do Suaçuí,21.0,44.0,31.0,60900.0,SÃO BRÁS DO SUAÇUÍ,3488.0
2613107,São Caetano,8.0,36.0,26.0,13107.0,SÃO CAITANO,34769.0
1507102,São Caetano de Odivelas,1.0,48.0,15.0,7102.0,SÃO CAETANO DE ODIVELAS,16179.0
3548807,São Caetano do Sul,24.0,47.0,35.0,48807.0,SÃO CAETANO DO SUL,144857.0
3548906,São Carlos,22.0,48.0,35.0,48906.0,SÃO CARLOS,10372.0
4124608,São Carlos do Ivaí,23.0,52.0,41.0,24608.0,SÃO CARLOS DO IVAÍ,5817.0
4216057,São Cristovão do Sul,27.0,50.0,42.0,16057.0,SÃO CRISTOVÃO DO SUL,4850.0
2806701,São Cristóvão,11.0,37.0,28.0,6701.0,SÃO CRISTÓVÃO,71931.0
2928901,São Desidério,12.0,45.0,29.0,28901.0,SÃO DESIDÉRIO,25158.0
2928950,São Domingos,11.0,40.0,29.0,28950.0,SÃO DOMINGOS,40797.0
3160959,São Domingos das Dores,20.0,42.0,31.0,60959.0,SÃO DOMINGOS DAS DORES,5232.0
1507151,São Domingos do Araguaia,6.0,49.0,15.0,7151.0,SÃO DOMINGOS DO ARAGUAIA,21094.0
2110658,São Domingos do Azeitão,7.0,45.0,21.0,10658.0,SÃO DOMINGOS DO AZEITÃO,6953.0
1507201,São Domingos do Capim,2.0,48.0,15.0,7201.0,SÃO DOMINGOS DO CAPIM,27094.0
2513943,São Domingos do Cariri,8.0,36.0,25.0,13943.0,SÃO DOMINGOS DO CARIRI,2265.0
2110708,São Domingos do Maranhão,6.0,44.0,21.0,10708.0,SÃO DOMINGOS DO MARANHÃO,32557.0
3204658,São Domingos do Norte,19.0,41.0,32.0,4658.0,SÃO DOMINGOS DO NORTE,7840.0
3161007,São Domingos do Prata,20.0,43.0,31.0,61007.0,SÃO DOMINGOS DO PRATA,17349.0
4318051,São Domingos do Sul,29.0,52.0,43.0,18051.0,SÃO DOMINGOS DO SUL,2854.0
2929107,São Felipe,13.0,39.0,29.0,29107.0,SÃO FELIPE,20265.0
1101484,São Felipe D'Oeste,12.0,62.0,11.0,1484.0,SÃO FELIPE D'OESTE,6286.0
2411809,São Fernando,6.0,37.0,24.0,11809.0,SÃO FERNANDO,3381.0
3304805,São Fidélis,22.0,42.0,33.0,4805.0,SÃO FIDÉLIS,37477.0
3549003,São Francisco,20.0,51.0,35.0,49003.0,SÃO FRANCISCO,62113.0
4318101,São Francisco de Assis,30.0,55.0,43.0,18101.0,SÃO FRANCISCO DE ASSIS,19523.0
2209658,São Francisco de Assis do Piauí,8.0,42.0,22.0,9658.0,SÃO FRANCISCO DE ASSIS DO PIAUÍ,5015.0
5219902,São Francisco de Goiás,16.0,49.0,52.0,19902.0,SÃO FRANCISCO DE GOIÁS,5713.0
3304755,São Francisco de Itabapoana,21.0,41.0,33.0,4755.0,SÃO FRANCISCO DE ITABAPOANA,44475.0
4318200,São Francisco de Paula,29.0,51.0,43.0,18200.0,SÃO FRANCISCO DE PAULA,27524.0
3161304,São Francisco de Sales,20.0,50.0,31.0,61304.0,SÃO FRANCISCO DE SALES,5167.0
2110856,São Francisco do Brejão,5.0,47.0,21.0,10856.0,SÃO FRANCISCO DO BREJÃO,8431.0
2929206,São Francisco do Conde,13.0,39.0,29.0,29206.0,SÃO FRANCISCO DO CONDE,29829.0
3161403,São Francisco do Glória,21.0,42.0,31.0,61403.0,SÃO FRANCISCO DO GLÓRIA,5539.0
1101492,São Francisco do Guaporé,12.0,64.0,11.0,1492.0,SÃO FRANCISCO DO GUAPORÉ,15710.0
2110906,São Francisco do Maranhão,6.0,43.0,21.0,10906.0,SÃO FRANCISCO DO MARANHÃO,14194.0
2411908,São Francisco do Oeste,6.0,38.0,24.0,11908.0,SÃO FRANCISCO DO OESTE,3669.0
1507409,São Francisco do Pará,1.0,48.0,15.0,7409.0,SÃO FRANCISCO DO PARÁ,11913.0
2209708,São Francisco do Piauí,7.0,43.0,22.0,9708.0,SÃO FRANCISCO DO PIAUÍ,6276.0
4216206,São Francisco do Sul,26.0,49.0,42.0,16206.0,SÃO FRANCISCO DO SUL,37613.0
